pl_name,pl_orbsmax,pl_orbeccen,st_dist,pl_eqt,pl_masse,pl_rade,st_metfe
HU Aqr AB c,5.4,0.51,192.2,,,,
HW Vir b,4.69,0.4,181,,,,
IC 4651 9122 b,2.038,0.18,879.38,,,,0.12
K2-10 b,,0.31,274.48,,27,3.84,-0.07
K2-100 b,0.0296,,190.04,1748,,3.59,0.26
K2-101 b,,0.1,189.33,,,2,0.14
K2-102 b,,0.1,189.17,,,1.3,0.14
K2-104 b,0.023,0.09,190.21,,,1.96,
K2-105 b,0.0796,,199.28,814,,3.37,0.25
K2-107 b,0.0475,,696.95,1649,,15.98,0.14
K2-108 b,0.0581,,484.99,1360,,5.33,0.36
K2-11 b,0.2257,,332.46,734,,7.55,-0.12
K2-110 b,0.1027,,116.84,575,,2.56,-0.21
K2-111 b,0.0621,0,201.51,1309,8.6,1.9,-0.53
K2-113 b,0.0642,,649.75,1098,,12.14,0.27
K2-114 b,0.0954,,484.8,661,,10.67,0.39
K2-115 b,0.143,,418.58,619,,12.06,-0.1
K2-116 b,0.048,0.06,49.46,,,0.69,
K2-117 b,0.0189,,101.95,868,,2.03,-0.05
K2-117 c,0.0492,,101.95,537,,2.06,-0.05
K2-118 b,0.245,0.2,324.7,,,2.54,
K2-119 b,0.0698,,369.66,666,,2.53,-0.05
K2-12 b,0.0802,,329.36,1003,,2.33,0.03
K2-120 b,0.078,0.14,289.54,,,2.01,
K2-121 b,0.0525,,170.37,723,,7.5,-0.04
K2-122 b,0.0285,,72.19,814,,1.21,0.06
K2-123 b,0.1649,,162.36,338,,2.76,0.03
K2-124 b,0.049,,140.4,442,,2.9,0.023
K2-125 b,0.121,0.08,124.6,,,2.18,
K2-126 b,0.0656,,103.29,601,,1.97,0.02
K2-127 b,0.0411,,723.97,809,,8.37,-0.11
K2-128 b,0.056,0.23,115.01,,,1.42,
K2-129 b,0.057,0.13,27.82,,,1.04,
K2-13 b,0.2114,,345.76,511,,1.89,-0.54
K2-130 b,0.032,0.17,118.41,,,1.25,
K2-131 b,0.0095,,153.7,2062,,1.7,-0.17
K2-132 b,,,620.41,,155.7367,14.572,-0.01
K2-133 b,0.03194,,75.2,,,1.34,
K2-133 c,0.04341,,75.2,,,1.603,
K2-133 d,0.07487,,75.2,,,2.003,
K2-133 e,0.1346,,75.2,296,,1.73,
K2-136 b,,0.1,59.35,553,,0.99,0.15
K2-136 c,,0.13,59.35,425,,2.91,0.15
K2-136 d,,0.14,59.35,373,,1.45,0.15
K2-137 b,0.0058,0,99.15,1471,158.915,0.89,0.08
K2-138 b,0.0338,0.403,183,,,1.57,0.16
K2-138 c,0.04454,0.296,183,,,2.52,0.16
K2-138 d,0.05883,0.348,183,,,2.66,0.16
K2-138 e,0.07807,0.315,183,,,3.29,0.16
K2-138 f,0.1043,0.364,183,,,2.81,0.16
K2-139 b,0.1796,,154.6,524,,9.11,0.24
K2-14 b,0.0627,,367.72,488,,4.81,-0.37
K2-140 b,0.0687,,341.6,957,,12.25,0.13
K2-141 b,,0,61.98,,5.08,1.51,-0.06
K2-141 c,,0,61.98,,7.4,7,-0.06
K2-146 b,,0.129,79.31,,5.77,2.05,
K2-146 c,,0.075,79.31,,7.49,2.19,
K2-147 b,0.0159,,88,,,1.38,0.19
K2-148 b,0.0454,,121,,,1.33,-0.11
K2-148 c,0.0616,,121,,,1.73,-0.11
K2-148 d,0.0774,,121,,,1.64,-0.11
K2-149 b,0.083,,118,,,1.64,0.11
K2-15 b,0.091,,501.03,676,,2.48,-0.46
K2-150 b,0.0727,,110,,,2,0.09
K2-151 b,0.0373,,69.61,566,,1.49,-0.19
K2-152 b,0.1716,,108.7,337,,2.29,0.12
K2-153 b,0.0614,,143.6,497,,2,-0.09
K2-154 b,0.0405,,129.8,715,,1.99,0.21
K2-154 c,0.0677,,129.8,552,,2.07,0.21
K2-155 b,0.0562,,82,708,,1.8,-0.3
K2-155 c,0.0946,,82,583,,2.6,-0.3
K2-155 d,0.1937,,82,381,,1.9,-0.3
K2-156 b,0.0149,,150.4,1347,,1.15,-0.25
K2-157 b,,,300.88,,,1.055,0.13
K2-158 b,0.0887,,198.2,794,,2.64,0.07
K2-158 c,0.0622,,198.2,948,,1.28,0.07
K2-159 b,0.1013,,171.9,684,,2.26,-0.07
K2-16 b,0.0667,,338.19,658,,2.02,
K2-16 c,0.1229,,338.19,485,,2.54,
K2-160 b,,,318.19,,,3.178,0.07
K2-161 b,,,941.09,,,6.117,-0.03
K2-162 b,0.0795,,125.1,631,,1.44,-0.17
K2-163 b,,,209.67,,,2.466,0.14
K2-164 b,,,379.64,,,3.249,-0.23
K2-165 b,,,135.1,,,1.274,-0.05
K2-165 c,,,135.1,,,1.554,-0.05
K2-165 d,,,135.1,,,2.648,-0.05
K2-166 b,0.0858,,481,1140,,2.19,
K2-167 b,,,81.08,,,2.819,-0.45
K2-168 b,,,245.56,766,,1.86,
K2-169 b,,,237.35,,,1.273,0.26
K2-17 b,0.119,,125.56,487,,2.23,0.15
K2-170 b,,,397.26,,,1.418,-0.11
K2-170 c,,,397.26,,,1.802,-0.11
K2-171 b,,,616.41,,,2.687,-0.09
K2-172 b,,,251.51,,,1.666,-0.06
K2-172 c,,,251.51,,,3.206,-0.06
K2-173 b,,,230.14,,,1.608,-0.25
K2-174 b,0.126,,100.1,455,,2.6,0.113
K2-175 b,,,249.01,,,2.038,0.05
K2-176 b,,,249.01,,,1.491,0.15
K2-177 b,,,499.02,,,2.116,0.41
K2-178 b,,,216.08,,,3.558,0.09
K2-179 b,,,191.84,,,2.513,0.03
K2-18 b,0.1429,0.2,38.07,284,8.92,2.37,0.12
K2-18 c,0.06,0.47,38.07,363,,,0.12
K2-180 b,0.0753,,204.51,731,,2.31,-0.54
K2-181 b,0.0706,,364.82,962,,2.84,0.23
K2-182 b,0.0529,,155.9,885,,2.76,0.09
K2-183 b,,,331.77,,,2.599,0.09
K2-183 c,0.0932,,331.77,787,,2.87,0.09
K2-183 d,0.1527,,331.77,615,,2.86,0.09
K2-184 b,0.1229,,75.79,580,,1.55,-0.07
K2-185 b,,,270.41,,,1.313,-0.05
K2-186 b,,,333.84,,,3.172,0.06
K2-187 b,0.0164,,333.51,1815,,1.3,0.23
K2-187 c,0.0392,,333.51,1173,,1.8,0.23
K2-187 d,0.072,,333.51,865,,3.17,0.23
K2-187 e,0.1106,,333.51,698,,2.38,0.23
K2-188 b,0.0289,,452.9,1692,,1.35,-0.01
K2-188 c,0.0785,,452.9,1026,,2.83,-0.01
K2-189 b,0.0361,,243.93,1197,,1.52,0
K2-189 c,0.068,,243.93,872,,2.5,0
K2-19 b,0.074,,292.14,854,,7.74,0.1
K2-19 c,0.0971,,292.14,745,,4.86,0.1
K2-19 d,0.0344,,292.14,1252,,1.14,0.1
K2-190 b,,,161.42,,,1.357,-0.19
K2-190 c,,,161.42,,,1.093,-0.19
K2-191 b,,,289.57,,,1.579,0.31
K2-192 b,0.049,,223.99,939,,1.52,0.15
K2-193 b,0.1184,,416.91,739,,3.95,0
K2-194 b,,,640.65,,,3.642,0.1
K2-195 b,0.1208,,317.83,720,,3.13,-0.1
K2-195 c,,,317.83,,,2.576,-0.1
K2-196 b,,,594.09,,,3.6,0.01
K2-197 b,0.0806,,249.59,848,,2.56,0.08
K2-198 b,,,110.91,716,,4.189,
K2-198 c,,,110.91,1230,,1.423,
K2-198 d,,,110.91,943,,2.438,
K2-199 b,0.0385,,107.97,861,,1.87,-0.11
K2-199 c,0.0668,,107.97,653,,2.78,-0.11
K2-200 b,,,185.09,,,1.364,-0.04
K2-201 b,,,199.05,,,1.4,0.13
K2-201 c,,,199.05,,,3.286,0.13
K2-202 b,,,302.99,,,2.302,0.27
K2-203 b,,,166.93,,,1.371,-0.07
K2-204 b,,,586.87,,,3.046,0.07
K2-205 b,,,409.95,,,1.996,-0.26
K2-206 b,,,246.14,,,2.795,-0.14
K2-207 b,,,366.84,,,2.606,0.11
K2-208 b,,,258.76,,,1.679,-0.11
K2-209 b,,,76.67,,,0.869,-0.06
K2-21 b,0.076,0.1,83.85,,,1.84,
K2-21 c,0.107,0.21,83.85,,,2.49,
K2-210 b,,,177.39,,,0.819,0.05
K2-211 b,,,274.39,,,1.375,0.11
K2-212 b,0.0785,,109.32,542,,2.52,0.03
K2-213 b,,,394.05,,,1.514,0.25
K2-214 b,0.0834,,303.28,1006,,2.43,0.05
K2-215 b,,,408.67,,,2.124,0.11
K2-216 b,0.028,0,115.84,1103,8,1.75,0
K2-217 b,,,386.01,,,3.579,0.04
K2-218 b,,,398.41,,,2.569,0.25
K2-219 b,,,328.42,,,1.348,0.13
K2-219 c,,,328.42,,,1.438,0.13
K2-219 d,,,328.42,,,2.576,0.13
K2-22 b,0.0088,,245.53,2100,444.962,2.5,0.03
K2-220 b,0.1104,,234.92,758,,2.39,0.04
K2-221 b,,,321.63,,,1.679,0.13
K2-222 b,0.1211,,101.59,801,,2.39,-0.21
K2-223 b,0.0127,,201.1,2271,,0.89,0.12
K2-223 c,0.0549,,201.1,1091,,1.57,0.12
K2-224 b,0.0516,,277.7,1002,,1.56,-0.19
K2-224 c,0.0886,,277.7,764,,2.41,-0.19
K2-225 b,0.134,,360.3,902,,3.49,0.38
K2-226 b,0.0413,,211.2,1120,,1.54,-0.03
K2-227 b,,,188.22,,,1.666,-0.1
K2-228 b,0.0338,,142.4,914,,1.21,-0.25
K2-229 b,0.0131,,103.8,1818,,1.14,-0.09
K2-229 c,0.0769,,103.8,750,,2.03,-0.09
K2-230 b,0.0409,,548.9,1529,,1.96,0.1
K2-231 b,,,295,,,2.5,0.14
K2-232 b,0.10356,0.258,131.21,1030,126.49634,11.209,0.1
K2-233 b,0.03317,0,67.64,1040,,1.398,0.07
K2-233 c,0.06687,0,67.64,728,,1.335,0.07
K2-233 d,0.1527,0,67.64,482,,2.64,0.07
K2-237 b,0.0353,0,309.5,1838,392.83788,18.405,0
K2-238 b,0.046,0,453,1587,273.3338,14.572,0.34
K2-239 b,0.0441,,49,502,,1.1,-0.1
K2-239 c,0.0576,,49,427,,1,-0.1
K2-239 d,0.0685,,49,399,,1.1,-0.1
K2-24 b,,0.06,171.39,,19,5.4,0.34
K2-24 c,,0.07,171.39,,15.4,7.5,0.34
K2-240 b,0.0513,,70,586,,2,-0.1
K2-240 c,0.1159,,70,389,,1.8,-0.1
K2-241 b,0.1567,,149.6,507,,2.55,-0.44
K2-242 b,0.0494,,109.6,416,,2.54,-0.01
K2-243 b,0.1087,,269.2,1035,,2.17,-0.03
K2-243 c,0.1817,,269.2,801,,2.01,-0.03
K2-244 b,0.1418,,214,638,,1.75,-0.29
K2-245 b,0.0959,,463.4,923,,4.34,-0.45
K2-246 b,0.0602,,723.1,977,,3.49,-0.19
K2-247 b,0.0304,,260.2,979,,2.12,-0.08
K2-247 c,0.0615,,260.2,688,,2.19,-0.08
K2-248 b,0.0699,,410.5,886,,2.57,-0.1
K2-249 b,0.1151,,528.3,1061,,2.79,0.04
K2-25 b,,0.27,45.01,,,3.43,0.15
K2-250 b,0.0459,,417.6,958,,2.44,-0.09
K2-251 b,0.0694,,147.7,437,,2.35,-0.04
K2-252 b,0.1041,,229.9,639,,1.74,-0.09
K2-253 b,0.0506,,901.8,1238,,12.67,0
K2-254 b,0.0448,,229.4,791,,1.63,-0.14
K2-254 c,0.0923,,229.4,551,,2.19,-0.14
K2-255 b,0.0274,,192.4,1034,,2.9,-0.14
K2-256 b,0.0578,,580.5,845,,2.63,-0.1
K2-257 b,0.0216,,64.1,789,,0.83,-0.03
K2-258 b,0.149,,675.2,831,,3,0.01
K2-259 b,0.1271,,422.1,795,,2.32,0.16
K2-26 b,0.0962,,99.33,430,,2.67,-0.13
K2-260 b,0.0404,0,676.32,1957,451.3186,17.396,-0.14
K2-261 b,0.102,0.39,214.58,1080,70.87609,9.528,0.36
K2-263 b,0.2573,0.14,163.23,470,14.8,2.41,-0.08
K2-264 b,0.05023,,187,496,,2.231,-0.013
K2-264 c,0.11283,,187,331,,2.668,-0.013
K2-265 b,0.03376,0.084,139.22,,6.54,1.71,0.078
K2-266 b,0.01306,,77.16,1515,,3.3,-0.12
K2-266 c,0.0679,0.042,77.16,665,,0.705,-0.12
K2-266 d,0.1035,0.047,77.16,538,8.9,2.93,-0.12
K2-266 e,0.1249,0.043,77.16,490,14.3,2.73,-0.12
K2-268 b,0.0308,,331.46,1121,,1.41,0.03
K2-268 c,0.0819,,331.46,688,,2.69,0.03
K2-269 b,0.0531,,362.07,1429,,1.57,-0.08
K2-27 b,0.06702,0.251,251.43,902,30.9,4.48,0.13
K2-270 b,0.0247,,283.53,1203,,1.38,0.26
K2-270 c,0.0497,,283.53,848,,2.95,0.26
K2-271 b,0.077,,571.47,893,,7.28,-0.3
K2-272 b,0.1081,,426.57,655,,2.91,-0.28
K2-273 b,0.0974,,310.6,672,,4.42,0.2
K2-274 b,0.1064,,232.82,589,,2.2,-0.13
K2-275 b,0.04,,124.09,905,,2.24,0
K2-275 c,0.075,,124.09,660,,2.34,0
K2-276 b,0.1291,,489.88,583,,3.77,0.07
K2-277 b,0.0675,,113.53,958,,2.07,0.11
K2-278 b,0.0488,,804.13,1711,,2.98,0
K2-279 b,0.067,,183.8,879,,1.21,-0.37
K2-28 b,0.0214,0,63.11,568,,2.32,0.26
K2-280 b,0.1488,,396.9,744,,7.67,0.3
K2-281 b,0.0773,,466.11,665,,8.18,0.22
K2-282 b,0.0499,,502.28,1057,,2.82,
K2-283 b,0.0291,,408.24,1186,,3.52,0.28
K2-284 b,0.04771,0.078,107.6,653,,2.78,0
K2-285 b,0.03817,0,155.65,1089,9.68,2.59,0
K2-285 c,0.0824,0,155.65,741,15.68,3.53,0
K2-285 d,0.1178,0,155.65,620,6.5,2.48,0
K2-285 e,0.18041,0,155.65,501,10.7,1.95,0
K2-286 b,0.1768,,76.32,347,,2.1,0
K2-287 b,0.1206,0.478,159.05,804,100.11645,9.494,0.2
K2-288 B b,0.164,,65.72,226,,1.9,-0.21
K2-289 b,0.107,,270.7,753,,9.1,0.162
K2-29 b,0.04217,0.066,179.39,1171,232.0159,13.339,0.16
K2-290 b,0.0923,0,274.99,1230,10.9,3.06,-0.06
K2-290 c,0.305,0,274.99,676,246.00042,11.276,-0.06
K2-291 b,0.03261,0,90.29,,6.49,1.589,0.08
K2-293 b,,,396.64,750,,2.45,0.218
K2-294 b,,,377.04,1425,,1.66,0.194
K2-295 b,0.0451,0,225.7,852,106.47305,10.054,0.14
K2-3 b,0.0769,,44.13,463,,2.18,-0.32
K2-3 c,0.1399,,44.13,344,,1.85,-0.32
K2-3 d,0.2076,,44.13,282,,1.51,-0.32
K2-30 b,0.04839,0,336.26,1092,184.02357,11.646,-0.15
K2-308 b,,,,,,9.916,-0.1
K2-31 b,0.022,0,110.87,,563.83042,11.882,0.08
K2-32 b,0.08035,,158.39,,,4.96,
K2-32 c,0.1399,,158.39,,,2.74,
K2-32 d,0.1862,,158.39,,,3.27,
K2-32 e,0.04951,,158.39,,,1.01,
K2-33 b,,0,139.8,,1175.971,5.04,
K2-34 b,0.0426,,352.34,1559,,13.96,0.03
K2-35 b,0.055,0.12,254.43,,,1.93,
K2-35 c,0.031,0.13,254.43,,,1.32,
K2-36 b,0.0223,0,110.09,1224,3.9,1.43,-0.09
K2-36 c,0.054,0,110.09,788,7.8,3.2,-0.09
K2-37 b,0.0511,,180.86,974,,1.61,-0.03
K2-37 c,0.0654,,180.86,861,,2.75,-0.03
K2-37 d,0.1103,,180.86,663,,2.73,-0.03
K2-38 b,,,193.71,,19.0698,1.906,0.28
K2-38 c,0.0964,,193.71,858,9.9,2.42,0.28
K2-39 b,,0,310.14,,28.6047,6.277,0.32
K2-4 b,0.078,0.08,233.37,,,2.1,
K2-42 b,0.0617,,401.36,,,2.15,
K2-43 b,,,183.48,939,,4.51,
K2-43 c,,,183.48,1094,,2.42,
K2-44 b,0.0651,,483.19,,,2.72,
K2-45 b,0.0224,,502.34,,,6.71,
K2-46 b,0.13821,,454.93,,,2.05,
K2-47 b,0.1779,,353.38,,,1.89,
K2-48 b,0.1344,,316.61,,,2.24,
K2-49 b,0.0309,,463.06,,,1.93,
K2-5 b,0.0532,,204.12,565,,1.91,-0.33
K2-5 c,0.0818,,204.12,456,,2.26,-0.33
K2-50 b,0.0705,,259.33,,,1.59,
K2-52 b,0.054,,1041.7,2004,,18,0.055
K2-53 b,0.098,,139.1,665,,2.6,-0.037
K2-54 b,0.0671,,175.84,,,1.15,
K2-55 b,0.03486,,160.26,,,3.82,
K2-57 b,0.0746,,266.23,,,2.1,
K2-58 b,0.0692,,182.69,,,2.68,
K2-58 c,0.035,,182.69,,,1.62,
K2-58 d,0.1517,,182.69,,,1.71,
K2-59 b,0.1354,,314.09,,,2.41,
K2-59 c,0.0905,,314.09,,,2.3,
K2-6 b,0.1898,,319.59,615,,2.5,-0.14
K2-60 b,0.045,0,498.7,1400,135.39558,7.656,0.01
K2-61 b,0.0392,,410.35,,,2.48,
K2-62 b,0.0636,,112.83,,,2.14,
K2-62 c,0.1148,,112.83,,,2.14,
K2-63 b,0.1627,,524.41,,,3.22,
K2-63 c,0.189,,524.41,,,3.9,
K2-64 b,0.0619,,506.87,,,2.07,
K2-65 b,0.1014,,78.06,,,1.58,
K2-66 b,0.05983,0,520.43,1372,21.3,2.49,-0.047
K2-68 b,0.0708,,169.47,,,1.58,
K2-69 b,0.0591,,181.63,,,2.32,
K2-7 b,0.1814,,754.64,651,,2.67,-0.07
K2-70 b,0.1112,,234.47,,,2.89,
K2-71 b,0.0559,,153.86,,,2.15,
K2-72 b,0.04,0.11,66.56,,,1.08,
K2-72 c,0.078,0.11,66.56,,,1.16,
K2-72 d,0.05,0.11,66.56,,,1.01,
K2-72 e,0.106,0.11,66.56,,,1.29,
K2-73 b,0.07619,,271.27,,,2.45,
K2-74 b,0.1402,,381.85,,,2.31,
K2-75 b,0.081,,570.86,,,2.67,
K2-75 c,0.1429,,570.86,,,2.77,
K2-77 b,,0.14,142.31,,603.877,2.3,0.29
K2-79 b,0.0987,,257.9,,,3.69,
K2-8 b,0.0856,,407.93,631,,3.58,-0.02
K2-8 c,0.0532,,407.93,801,,2.41,-0.02
K2-80 b,0.135,,201.96,,,2.01,
K2-80 c,0.0596,,201.96,,,1.47,
K2-80 d,,,201.96,,,2.552,
K2-81 b,0.059,0.06,254.14,,,1.97,
K2-83 b,0.03014,,125.98,,,1.244,
K2-83 c,0.07131,,125.98,,,1.483,
K2-84 b,0.0665,,287.23,,,2.41,
K2-84 c,0.1768,,287.23,,,2.03,
K2-85 b,0.01263,,97.49,,,1.01,
K2-86 b,0.077,,260.61,,,1.96,
K2-87 b,0.094,,503.6,979,,7.6,0.328
K2-88 b,0.0345,,110.91,,,1.23,
K2-89 b,0.01462,,86.25,,,0.615,
K2-9 b,0.091,,83.16,314,,2.25,-0.25
K2-90 b,0.096,,134.9,502,,2.6,-0.225
K2-90 c,0.035,0.19,134.9,,,1.3,-0.225
K2-91 b,0.0164,,62.69,,,1.1,
K2-95 b,0.0696,,180.63,383,,3.88,-0.03
K2-97 b,0.086,,869.76,1499,,10.61,0.33
K2-98 b,0.0974,,526.31,1092,,5.2,-0.06
K2-99 b,0.1597,,522.29,1113,,11.73,0.21
KELT-1 b,0.02466,0.0099,262,,8654.15,12.442,
KELT-10 b,0.0525,,183,1377,215.80657,15.681,0.09
KELT-11 b,,0.0007,99.44,,54.34893,15.132,0.17
KELT-12 b,0.06708,0,360,1800,301.9385,19.952,0.19
KELT-14 b,0.03005,0,266,1970,408.09372,19.537,0.32
KELT-15 b,,0,327.74,,416.3573,19.504,0.05
KELT-16 b,0.02044,0,450.28,2453,874.0325,15.861,-0.002
KELT-17 b,0.04881,,210,2087,416.3573,17.094,-0.018
KELT-18 b,0.0455,0,311,2085,375.0394,17.598,0.09
KELT-19 A b,0.0637,,302.8,1935,1293.5681,21.409,-0.12
KELT-2 A b,,0,134.57,,540.311,15.132,0
KELT-20 b,0.0542,,139.7,2262,1074.90106,19.515,-0.29
KELT-21 b,0.05224,0,415,2051,1242.7153,17.777,-0.405
KELT-23 A b,0.03302,0,125.42,1561,298.12454,14.83,-0.105
KELT-24 b,0.06969,0.077,96.03,1459,1646.3594,14.258,0.186
KELT-3 b,,0,211.35,,616.5902,17.486,0.05
KELT-4 A b,0.04317,0,210,1823,286.68266,19.044,-0.116
KELT-6 b,,0.22,242.39,,165.2716,14.572,-0.28
KELT-6 c,2.39,0.21,242.39,,,,-0.28
KELT-7 b,,0,137.21,,441.7837,17.934,0
KELT-8 b,,0.04,198.7,,209.7678,18.159,0.27
KELT-9 b,0.03462,0,205.65,4050,915.3504,21.196,-0.03
KIC 10001893 b,,,1758.47,,,,
KIC 10001893 c,,,1758.47,,,,
KIC 10001893 d,,,1758.47,,,,
KIC 10525077 b,,,1525.31,,,5.5,-0.04
KIC 3558849 b,,,1258.75,,,6.9,-0.42
KIC 5095269 b,0.8,0.0603,1230.6,,2445.06619,,
KIC 5437945 b,,,1322.48,,,6.4,-0.38
KIC 5951458 b,,,758.78,,,6.6,-0.5
KIC 7917485 b,,0.15,1439.31,,,,-0.02
KIC 8540376 b,,,1106.37,,,4.1,-0.16
KIC 8540376 c,,,1106.37,,,2.4,-0.16
KIC 9663113 b,,,1670.88,,,4.6,-0.28
KMT-2016-BLG-0212L b,2.2,,6300,,5720.94,,
KMT-2016-BLG-1107L b,0.342,,6651,,1043.43589,,
KMT-2016-BLG-1397L b,5.1,,6600,,2224.81,,
KMT-2016-BLG-1820L b,1.08,,6260,,1452.4831,,
KMT-2016-BLG-1836L b,3.5,,7100,,699.226,,
KMT-2016-BLG-2142L b,0.83,,7010,,4923.1867,,
KMT-2017-BLG-0165L b,3.45,,4530,,34,,
KMT-2017-BLG-1038L b,1.8,,6000,,635.66,,
KMT-2017-BLG-1146L b,1.6,,6500,,225.6593,,
KMT-2018-BLG-1990L b,0.763,,967,,110.60484,,
KOI-12 b,0.154,0.34,403.99,,349.613,13.787,
KOI-1257 b,0.382,0.772,900,511,460.83,10.54,0.27
KOI-13 b,0.03641,0.00064,415,2550,2949.4624,16.948,0.2
KOI-142 b,,0.05593,339,,8.7,3.78,0.2
KOI-142 c,0.15525,0.05628,339,,198.8,,0.2
KOI-1599.01,0.14728,0.014,1168.99,,4.6,1.9,
KOI-1599.02,0.112293,0.0114,1168.99,,9,1.9,
KOI-217 b,0.0477,0,800,,,12.442,
KOI-351 b,0.074,,780,,,1.31,-0.12
KOI-351 c,0.089,,780,,,1.19,-0.12
KOI-351 d,0.32,,780,,,2.87,-0.12
KOI-351 e,0.42,,780,,,2.66,-0.12
KOI-351 f,0.48,,780,,,2.88,-0.12
KOI-351 g,0.71,,780,,,8.1,-0.12
KOI-351 h,1.01,,780,,,11.3,-0.12
KOI-3680 b,0.534,0.496,946.59,347,613.4119,11.097,0.16
KOI-55 b,0.006,,1180,,0.44,0.759,
KOI-55 c,0.0076,,1180,,0.655,0.867,
KOI-94 b,0.05119,0.25,483.65,1486,10.5,1.71,0.023
KOI-94 c,0.1013,0.43,483.65,1012,15.6,4.32,0.023
KOI-94 d,0.1684,0.022,483.65,806,106,11.27,0.023
KOI-94 e,0.3046,0.019,483.65,584,35,6.56,0.023
KPS-1 b,0.0269,0,264.69,1459,346.4347,11.545,0.22
Kapteyn c,0.311,0.23,3.93,,,,-0.89
Kepler-10 b,0.0172,,186.5,2130,4.60853,1.481,-0.15
Kepler-10 c,,,186.5,,7.37,,-0.15
Kepler-100 b,,,307.34,,7.34,1.32,0.02
Kepler-100 c,,,307.34,,7.05,2.2,0.02
Kepler-100 d,,,307.34,,3,1.61,0.02
Kepler-1000 b,,,925,,,4.76,0.35
Kepler-1001 b,,,1009,,,3.15,-0.03
Kepler-1002 b,,,425,,,1.71,0.04
Kepler-1003 b,,,873,,,1.78,0.01
Kepler-1004 b,,,1080,,,6.28,-0.04
Kepler-1005 b,,,515,,,1.5,0.02
Kepler-1006 b,,,496,,,1.54,-0.4
Kepler-1007 b,,,365,,,1.44,0.03
Kepler-1008 b,,,299,,,1.28,-0.01
Kepler-1009 b,,,281,,,2.17,-0.12
Kepler-101 b,0.0474,0.086,953.44,1513,51.1,5.77,0.33
Kepler-101 c,0.0684,0,953.44,1413,3.78,1.25,0.33
Kepler-1010 b,,,610,,,2.32,-0.01
Kepler-1011 b,,,860,,,2.87,0.08
Kepler-1012 b,,,420,,,1.29,0.05
Kepler-1013 b,,,433,,,2.15,0.04
Kepler-1014 b,,,672,,,2.39,-0.06
Kepler-1015 b,,,932,,,3.55,0.06
Kepler-1016 b,,,1239,,,2.18,-0.03
Kepler-1016 c,,,1239,,,3.68,-0.03
Kepler-1017 b,,,554,,,1.99,0.04
Kepler-1018 b,,,894,,,2.58,-0.05
Kepler-1019 b,,,198,,,1.46,0.01
Kepler-102 b,,,108.13,,4.3,0.47,0.18
Kepler-102 c,,,108.13,,3,0.58,0.18
Kepler-102 d,,,108.13,,3.8,1.18,0.18
Kepler-102 e,,,108.13,,8.93,2.22,0.18
Kepler-102 f,,,108.13,,5.2,0.88,0.18
Kepler-1020 b,,,446,,,2.28,0
Kepler-1021 b,,,837,,,2.33,-0.05
Kepler-1022 b,,,455,,,2.36,0.06
Kepler-1023 b,,,686,,,2.63,0.05
Kepler-1024 b,,,1017,,,3.91,-0.1
Kepler-1025 b,,,716,,,1.98,-0.03
Kepler-1026 b,,,389,,,2.21,-0.02
Kepler-1027 b,,,291,,,0.89,-0.06
Kepler-1028 b,,,633,,,1.33,-0.09
Kepler-1029 b,,,422,,,1.26,0.01
Kepler-103 b,,,501.93,,9.7,3.37,0.07
Kepler-103 c,,,501.93,,36.1,5.14,0.07
Kepler-1030 b,,,795,,,2.48,-0.01
Kepler-1031 b,,,741,,,0.87,0.03
Kepler-1032 b,,,607,,,1.87,0.16
Kepler-1033 b,,,1425,,,2.51,0.06
Kepler-1034 b,,,706,,,2.26,-0.06
Kepler-1035 b,,,408,,,1.17,-0.03
Kepler-1036 b,,,507,,,3.01,0.04
Kepler-1037 b,,,451,,,1.28,-0.03
Kepler-1038 b,,,622,,,3.53,-0.04
Kepler-1039 b,,,324,,,1.46,0.01
Kepler-104 b,0.094,,405.42,,,3.1,
Kepler-104 c,0.153,,405.42,,,3.13,
Kepler-104 d,0.257,,405.42,,,3.58,
Kepler-1040 b,,,473,,,2.08,0.01
Kepler-1041 b,,,979,,,2.94,0.01
Kepler-1042 b,,,659,,,2.19,-0.1
Kepler-1043 b,,,838,,,2.55,-0.11
Kepler-1044 b,,,1507,,,2.67,0.04
Kepler-1045 b,,,971,,,2.69,-0.03
Kepler-1046 b,,,518,,,1.71,0
Kepler-1047 b,,,566,,,2.09,0.29
Kepler-1047 c,,,566,,,0.99,0.29
Kepler-1048 b,,,415,,,1.61,0.01
Kepler-1049 b,,,129,,,0.95,-0.33
Kepler-105 b,0.066,0.47,465.33,1418,,4.81,-0.19
Kepler-105 c,,,465.33,,4.6,1.31,-0.19
Kepler-1050 b,,,555,,,1.6,0.03
Kepler-1050 c,,,555,,,1.48,0.03
Kepler-1051 b,,,1021,,,3.4,0.04
Kepler-1052 b,,,1051,,,2.93,0
Kepler-1053 b,,,171,,,0.98,0.1
Kepler-1054 b,,,1050,,,2.63,0.09
Kepler-1055 b,,,422,,,1.23,-0.02
Kepler-1056 b,,,971,,,3.01,0.02
Kepler-1057 b,,,1462,,,3.36,0.01
Kepler-1058 b,,,525,,,2.72,-0.06
Kepler-1059 b,,,673,,,1.73,-0.15
Kepler-106 b,,,449.98,,5.3,0.82,-0.12
Kepler-106 c,,,449.98,,10.44,2.5,-0.12
Kepler-106 d,,,449.98,,8.1,0.95,-0.12
