pl_name,pl_orbsmax,pl_orbeccen,st_dist,pl_eqt,pl_masse,pl_rade,st_metfe
HATS-59 c,2.504,0.083,654.88,176,,,0.18
HATS-6 b,0.03623,0,148.4,713,101.38777,11.187,0.2
HATS-60 b,0.04708,0.191,494.3,1528,210.40346,12.924,0.335
HATS-61 b,0.07908,0.092,694,1226,1080.622,13.395,0.247
HATS-62 b,0.04163,0.298,516.8,1237,56.89157,11.825,0.133
HATS-63 b,0.04026,0.136,634.8,1398,305.1168,13.529,0.081
HATS-64 b,0.06562,0.151,1083,1793,305.1168,18.82,0.22
HATS-65 b,0.04497,0.062,495,1634,260.93843,16.825,0.199
HATS-66 b,0.04714,0.064,1538,1998,1694.0339,15.816,-0.017
HATS-67 b,0.03032,0.057,982,2193,460.8535,18.887,0.332
HATS-68 b,0.05071,0.036,618.2,1741,410.0007,13.809,0.21
HATS-69 b,0.03211,0.519,420.3,1296,183.38791,10.593,0.377
HATS-7 b,0.04012,0.17,257,1084,38.1396,6.311,0.25
HATS-70 b,0.03632,0.18,1307,2730,4100.007,15.513,0.041
HATS-72 b,0.066517,0.013,127.66,739,39.85588,8.097,0.099
HATS-8 b,0.04667,0.376,829,1324,43.86054,9.785,0.21
HATS-9 b,0.0312,,654.36,1746,,13.85,0.38
HD 100546 b,53,,110.02,,,77.342,
HD 100655 b,0.68,0.09,137.72,,,,0.07
HD 100777 b,1.03,0.36,49.6,,,,0.25
HD 10180 c,0.06412,0.073,39,,,,0.08
HD 10180 d,0.12859,0.131,39,,,,0.08
HD 10180 e,0.2699,0.051,39,,,,0.08
HD 10180 f,0.4929,0.119,39,,,,0.08
HD 10180 g,1.427,0.263,39,,,,0.08
HD 10180 h,3.381,0.095,39,,,,0.08
HD 101930 b,0.3,0.11,30.05,,,,0.15
HD 102117 b,0.15,0.12,39.62,,,,0.28
HD 102195 b,0.05,0,29.36,,,,0.04
HD 102272 b,0.51,0.05,350.01,,,,-0.41
HD 102329 b,1.81,0.21,218.42,,,,0.05
HD 102329 c,,0.209,218.42,,,,0.05
HD 102365 b,0.46,0.34,9.29,,,,-0.26
HD 102843 b,4.074,0.11,62.87,,,,
HD 102956 b,0.0807,0.037,122.32,,,,
HD 103197 b,0.25,0,57.24,,,,0.22
HD 103720 b,0.0498,0.086,41.6,,,,-0.02
HD 103774 b,0.07,0.09,56.5,,,,0.28
HD 103949 b,0.439,0.19,26.52,,,,
HD 104067 b,0.26,0,20.38,,,,0
HD 10442 b,2.01,0.132,135.89,,,,
HD 104985 b,0.95,0.09,100.86,,,,-0.15
HD 106252 b,2.61,0.48,38.23,,,,-0.06
HD 106270 b,3.34,0.185,94.06,,,,
HD 106315 b,0.0907,0.093,109,1153,12.6,2.44,-0.311
HD 106315 c,0.1536,0.22,109,886,15.2,4.35,-0.311
HD 10647 b,2.015,0.15,17.34,,,,0
HD 106515 A b,4.59,0.572,34.12,,,,0.03
HD 106906 b,650,,103.33,1800,3496,,
HD 10697 b,2.14,0.1043,33.15,,,,
HD 107148 b,0.269,0.05,49.49,,,,0.314
HD 108147 b,0.102,0.53,38.96,,,,0.2
HD 108341 b,2,0.85,49.4,,,,0.04
HD 108863 b,1.32,0.032,165.52,,,,
HD 108874 b,1.04,0.13,59.62,,,,0.26
HD 108874 c,2.659,0.239,59.62,,,,0.26
HD 109246 b,0.33,0.12,67.97,,,,0.1
HD 109271 b,0.079,0.25,55.96,,,,0.1
HD 109271 c,0.196,0.15,55.96,,,,0.1
HD 109749 b,0.0615,0,63.2,,,,0.24
HD 110014 b,2.14,0.462,100.98,,,,0.19
HD 111232 b,1.97,0.2,28.98,,,,-0.43
HD 111591 b,2.5,0.26,114.54,,,,0.07
